date,0x,1inch,aave,ampleforth,api3,badger-dao,balancer,bancor,chainlink,clearpool,convex-finance,dydx,frax,frax-share,harvest-finance,hashflow,injective-protocol,lido-dao,liquity,liquity-usd,loopring,magic-internet-money,maker,numeraire,ondo-finance,orbs,rocket-pool,stargate-finance,sushi,tellor,uma,uniswap,yearn-finance
2023-05-10 00:00:00+00:00,0.227076610406,0.422894319498,64.807670055739,1.013621740363,1.331763463695,2.692246979773,5.626894007552,0.427792118243,6.595903838933,0.034812215759,4.698266407196,2.205264586886,1.000985208896,6.782849402718,27.949408470257,0.476656236148,6.671948493843,1.874571555612,1.241408341071,1.009443660444,0.301261293988,0.99697992694,660.540172141098,14.079093974335,,0.02751121366,46.93711434479,0.671314451346,0.914875644515,11.941102999716,2.574627235811,5.131016559413,7055.262960080213
2023-05-11 00:00:00+00:00,0.215634348186,0.409342329732,62.403612843617,0.994421464258,1.29125642179,2.548592936854,5.49871818222,0.416702463134,6.366951184944,0.034381896042,4.345311304024,2.00184512533,1.000818922259,5.949706222327,26.165564601885,0.441400165451,5.815883650019,1.655989932071,1.207295122159,1.008813859123,0.283265586737,0.999124959064,622.258175262789,13.249038841842,,0.026711597311,44.898071020456,0.611195615087,0.874396891382,11.419716269727,2.402240075799,5.071643766333,6670.465054594105
2023-05-12 00:00:00+00:00,0.218901398416,0.414994896487,63.19169125157,1.007431285001,1.313336270255,2.576800691685,5.546214174348,0.420354740529,6.621964418818,0.033897879487,4.512817522028,2.115184948309,0.998830547783,6.541627620913,27.06734581086,0.455485301751,6.138926075979,1.899469010023,1.226500837682,1.008732921332,0.287652910437,0.999207734355,638.052290942822,13.458871319338,,0.02641762956,46.599721425499,0.615728652312,0.886900477909,11.628615352877,2.407427499473,5.198058639829,6942.948002124381
2023-05-13 00:00:00+00:00,0.216905992784,0.41048872724,62.19250999871,1.008369727529,1.311709207635,2.551020567467,5.499828324296,0.416252488993,6.500389885679,0.03386016419,4.514929345016,2.119456171017,1.001673168254,6.515253406282,27.670391948614,0.448089287822,6.039597221515,1.882274122175,1.190450988784,1.008404113832,0.284618330429,0.99633550552,632.569601537907,13.41610455972,,0.026434633324,49.993557218465,0.606226766418,0.885111289408,11.422613542296,2.314092645964,5.10674981969,6770.915649228183
2023-05-14 00:00:00+00:00,0.221449607753,0.41404331608,62.226140739462,1.012826660465,1.311225040091,2.547584185489,5.558374382021,0.417705834951,6.543808786469,0.033832554968,4.608332063324,2.143035819307,1.002238325818,6.726551728339,27.873021471184,0.452750985134,6.093840455906,1.927074317852,1.202545054435,1.007748404459,0.28885540861,0.998373957766,626.382717520587,13.566253178214,,0.026540443089,51.65613119457,0.616325941461,0.896118061854,11.566458787031,2.352581562321,5.13730757682,6833.893573618065
2023-05-15 00:00:00+00:00,0.222653527135,0.414703296656,62.820180457156,1.028695384668,1.339506728405,2.555730220675,5.550417062478,0.421992625485,6.638051084363,0.034309155389,4.68647362273,2.209682526083,0.999733452993,7.061784666292,28.594686723002,0.448980662731,6.406288756185,2.123449029335,1.287438509907,1.008223540613,0.29280087558,0.99634189515,637.247063824492,13.739543658527,,0.026885391245,52.107414960884,0.640664292702,0.89197187134,11.911909028685,2.337951032512,5.128390263222,6901.846643694997
2023-05-16 00:00:00+00:00,0.229109396303,0.415372269206,62.838258932328,1.035609761475,1.303107596211,2.553216202999,5.501116824018,0.421564696316,6.659044353614,0.033236564575,4.752353455012,2.182683906261,0.999324091313,7.256133359311,28.261915969925,0.44967184329,6.147377647951,2.206719928087,1.373606304,1.007524531132,0.296850500339,0.998712449628,633.170681721113,13.644361453698,,0.026514799215,49.976385887114,0.641696807653,0.897116820916,12.124639108597,2.208977483308,5.148323943429,6813.431042100011
2023-05-17 00:00:00+00:00,0.232338565531,0.415276185335,64.814325000823,1.040045410592,1.267399265067,2.57951041029,5.565014497715,0.426868398153,6.753716254349,0.032102210493,4.803114907305,2.220366930523,1.00135701815,7.369621465546,28.554070758437,0.462563457084,6.614159799377,2.357241978922,1.388371912068,1.009593707596,0.305160412526,0.998501757565,639.498470653883,13.801219160209,,0.026604871782,50.605704429439,0.661621211419,0.92503458028,12.245063901903,2.239127227259,5.328456612055,6827.248887256693
2023-05-18 00:00:00+00:00,0.22865058066,0.402567324749,65.164756290535,1.03801537047,1.267353604475,2.545259107086,5.503555341443,0.417289933182,6.534812440441,0.031200806393,4.674668798173,2.177975955413,0.998807384885,7.22305564926,28.218291009261,0.453202074665,6.651945669705,2.138194117341,1.332290326393,1.009938480326,0.296823237244,0.993827490403,626.032960158076,13.796838347328,,0.02647719604,49.673962395954,0.614752054274,0.9063638134,12.334483560703,2.203365437466,5.302555217932,6694.923355540882
2023-05-19 00:00:00+00:00,0.228563508241,0.401153295707,65.354524111776,1.040345649055,1.265769711631,2.551199863137,5.477608219,0.420870060789,6.508408665982,0.030738296617,4.634817147898,2.162221801054,0.999451189491,7.242516339471,28.614787195046,0.466987021061,7.022343045433,2.176364511956,1.308614120648,1.00822568203,0.299787974505,0.998572203946,627.951362557498,14.497782607013,,0.026403762675,49.233576655524,0.626021163436,0.899894026928,12.42918067388,2.173716269071,5.317804122374,6667.378841792683
