file_name,column_name,missing_percentage,zero_percentage,is_removed,removal_reason
amount_in_top_holders.csv,stake-dao_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,synfutures_amount_in_top_holders,76.23626373626374,0.0,True,高缺失值
amount_in_top_holders.csv,quickswap_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,inverse-finance_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,tokemak_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,ribbon-finance_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,ramp_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,cryptex-finance_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,kryll_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,airswap_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,orion-protocol_amount_in_top_holders,0.0,0.0,False,
amount_in_top_holders.csv,aura-finance_amount_in_top_holders,0.0,0.0,False,
whale_transaction_count_100k_usd_to_inf.csv,uniswap_whale_transaction_count_100k_usd_to_inf,0.0,0.0,False,
whale_transaction_count_100k_usd_to_inf.csv,maker_whale_transaction_count_100k_usd_to_inf,0.0,0.823045267489712,False,
whale_transaction_count_100k_usd_to_inf.csv,lido-dao_whale_transaction_count_100k_usd_to_inf,0.0,0.411522633744856,False,
whale_transaction_count_100k_usd_to_inf.csv,compound_whale_transaction_count_100k_usd_to_inf,100.0,0.0,True,高缺失值
whale_transaction_count_100k_usd_to_inf.csv,synthetix-network-token_whale_transaction_count_100k_usd_to_inf,100.0,0.0,True,高缺失值
whale_transaction_count_100k_usd_to_inf.csv,frax-share_whale_transaction_count_100k_usd_to_inf,0.0,14.12894375857339,False,
whale_transaction_count_100k_usd_to_inf.csv,dydx_whale_transaction_count_100k_usd_to_inf,0.0,8.367626886145404,False,
whale_transaction_count_100k_usd_to_inf.csv,balancer_whale_transaction_count_100k_usd_to_inf,0.0,40.054869684499316,False,
whale_transaction_count_100k_usd_to_inf.csv,bancor_whale_transaction_count_100k_usd_to_inf,0.0,47.73662551440329,False,
whale_transaction_count_100k_usd_to_inf.csv,chainlink_whale_transaction_count_100k_usd_to_inf,0.0,0.0,False,
whale_transaction_count_100k_usd_to_inf.csv,dai_whale_transaction_count_100k_usd_to_inf,54.1838134430727,45.8161865569273,True,高缺失值
whale_transaction_count_100k_usd_to_inf.csv,ondo-finance_whale_transaction_count_100k_usd_to_inf,0.0,35.25377229080932,False,
whale_transaction_count_100k_usd_to_inf.csv,aave_whale_transaction_count_100k_usd_to_inf,0.0,0.411522633744856,False,
whale_transaction_count_100k_usd_to_inf.csv,ethena_whale_transaction_count_100k_usd_to_inf,0.0,45.541838134430726,False,
whale_transaction_count_100k_usd_to_inf.csv,injective-protocol_whale_transaction_count_100k_usd_to_inf,0.0,17.28395061728395,False,
whale_transaction_count_100k_usd_to_inf.csv,dexe_whale_transaction_count_100k_usd_to_inf,0.0,82.03017832647463,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,raydium_whale_transaction_count_100k_usd_to_inf,0.0,99.86282578875172,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,pendle_whale_transaction_count_100k_usd_to_inf,5.8984910836762685,8.50480109739369,True,高缺失值
whale_transaction_count_100k_usd_to_inf.csv,telcoin_whale_transaction_count_100k_usd_to_inf,0.0,99.86282578875172,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,morpho_whale_transaction_count_100k_usd_to_inf,0.0,77.50342935528121,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,olympus_whale_transaction_count_100k_usd_to_inf,0.0,52.674897119341566,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,frax_whale_transaction_count_100k_usd_to_inf,0.0,0.1371742112482853,False,
